Motions with difficulty > 5:
Motion: ACCAD_Female1Gestures_c3d_D5_-_Random_Stuff_2_stageii.pkl, Difficulty: 14.07
Motion: ACCAD_Male2MartialArtsExtended_c3d_Extended_3_stageii.pkl, Difficulty: 100.00
Motion: ACCAD_Male2MartialArtsExtended_c3d_Extended_3_stageii.pkl, Difficulty: 78.20
Motion: ACCAD_Male2Walking_c3d_B18_-__Walk_to_leap_to_walk_t3_stageii.pkl, Difficulty: 16.02
Motion: BMLmovi_Subject_6_F_MoSh_Subject_6_F_3_stageii.pkl, Difficulty: 100.00
Motion: BMLmovi_Subject_6_F_MoSh_Subject_6_F_3_stageii.pkl, Difficulty: 11.40
Motion: BMLmovi_Subject_11_F_MoSh_Subject_11_F_13_stageii.pkl, Difficulty: 15.26
Motion: BMLmovi_Subject_12_F_MoSh_Subject_12_F_2_stageii.pkl, Difficulty: 82.42
Motion: BMLmovi_Subject_12_F_MoSh_Subject_12_F_2_stageii.pkl, Difficulty: 100.00
Motion: BMLmovi_Subject_13_F_MoSh_Subject_13_F_2_stageii.pkl, Difficulty: 68.75
Motion: BMLmovi_Subject_13_F_MoSh_Subject_13_F_12_stageii.pkl, Difficulty: 100.00
Motion: BMLmovi_Subject_13_F_MoSh_Subject_13_F_12_stageii.pkl, Difficulty: 93.81
Motion: BMLmovi_Subject_14_F_MoSh_Subject_14_F_12_stageii.pkl, Difficulty: 83.35
Motion: BMLmovi_Subject_15_F_MoSh_Subject_15_F_8_stageii.pkl, Difficulty: 99.00
Motion: BMLmovi_Subject_20_F_MoSh_Subject_20_F_6_stageii.pkl, Difficulty: 67.57
Motion: BMLmovi_Subject_39_F_MoSh_Subject_39_F_8_stageii.pkl, Difficulty: 100.00
Motion: BMLmovi_Subject_39_F_MoSh_Subject_39_F_16_stageii.pkl, Difficulty: 99.99
Motion: BMLmovi_Subject_66_F_MoSh_Subject_66_F_11_stageii.pkl, Difficulty: 38.88
Motion: BMLmovi_Subject_69_F_MoSh_Subject_69_F_20_stageii.pkl, Difficulty: 95.68
Motion: CMU_01_01_02_stageii.pkl, Difficulty: 100.00
Motion: CMU_01_01_02_stageii.pkl, Difficulty: 100.00
Motion: CMU_01_01_02_stageii.pkl, Difficulty: 100.00
Motion: CMU_01_01_02_stageii.pkl, Difficulty: 100.00
Motion: CMU_01_01_02_stageii.pkl, Difficulty: 100.00
Motion: CMU_01_01_03_stageii.pkl, Difficulty: 100.00
Motion: CMU_01_01_03_stageii.pkl, Difficulty: 100.00
Motion: CMU_01_01_03_stageii.pkl, Difficulty: 100.00
Motion: CMU_01_01_03_stageii.pkl, Difficulty: 100.00
Motion: CMU_01_01_05_stageii.pkl, Difficulty: 100.00
Motion: CMU_01_01_05_stageii.pkl, Difficulty: 100.00
Motion: CMU_01_01_05_stageii.pkl, Difficulty: 100.00
Motion: CMU_01_01_05_stageii.pkl, Difficulty: 100.00
Motion: CMU_01_01_05_stageii.pkl, Difficulty: 100.00
